id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007N19Rik	17	9	11	7	12	115	16	56	13	118	0	145	3
0610007P14Rik	44	29	49	33	24	159	90	75	42	82	6	88	4
0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	54	24	66	25	16	299	110	80	54	358	20	394	8
0610009D07Rik	136	69	150	62	80	850	261	247	107	530	24	525	21
0610009L18Rik	14	7	6	4	3	27	18	17	14	30	5	28	3
0610009O20Rik	19	19	26	8	14	55	37	37	17	36	2	26	3
0610010B08Rik	0	1	2	0	0	1	1	1	1	0	0	0	1
0610010F05Rik	10	1	2	3	4	38	9	8	7	33	4	36	0
0610010K14Rik	56	51	56	35	42	259	107	218	40	205	17	214	8
0610011F06Rik	58	46	70	33	49	65	90	63	45	82	16	74	9
0610012G03Rik	66	48	73	42	25	336	189	235	92	346	20	372	11
0610012H03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	19	6	13	9	9	16	9	9	9	17	3	18	0
0610031J06Rik	43	34	70	24	47	210	85	178	59	188	19	298	18
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	70	52	71	23	42	211	179	127	87	159	30	185	17
0610038B21Rik	0	0	1	0	1	3	2	4	1	6	1	8	0
0610038L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040B10Rik	3	4	5	4	3	12	2	6	1	18	2	28	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	1	0	1	0	2	0	0	0
0610043K17Rik	1	2	0	0	0	0	0	0	1	0	0	0	0
1100001G20Rik	0	1	2	0	3	0	0	0	1	2	0	4	0
1110001A16Rik	20	27	34	14	12	263	64	110	28	207	11	285	3
1110001J03Rik	210	188	329	116	124	872	475	366	233	456	48	472	22
1110002L01Rik	0	0	0	0	0	2	1	0	0	2	0	3	0
1110004E09Rik	21	14	55	9	24	138	42	32	34	61	7	79	3
1110004F10Rik	129	96	177	101	99	894	313	414	155	521	53	640	26
1110006O24Rik	0	0	0	0	1	2	0	2	0	1	0	1	0
1110007C09Rik	16	5	14	7	6	149	18	176	11	308	3	300	6
1110008F13Rik	0	1	0	0	0	3	2	1	0	2	0	3	0
1110008J03Rik	7	5	9	2	4	35	8	22	2	21	3	30	1
1110008L16Rik	5	3	9	4	4	29	5	16	8	17	3	20	1
1110008P14Rik	38	17	40	23	17	847	64	486	24	683	10	695	11
1110012L19Rik	35	26	38	20	38	189	75	158	45	183	13	281	12
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	0	0	0	1	0	0	0	1	0
1110019D14Rik	5	0	5	0	4	33	8	7	4	20	3	25	1
1110020A21Rik	4	3	4	6	0	12	10	1	1	37	4	28	1
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1110032A03Rik	29	19	21	2	16	32	50	18	23	62	13	58	8
1110032F04Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1110034G24Rik	7	12	18	8	7	11	22	10	18	12	2	12	4
1110035M17Rik	0	0	0	2	0	1	0	2	0	2	0	5	0
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	34	19	43	11	25	133	51	30	27	72	11	105	3
1110038B12Rik	85	35	88	14	54	260	154	137	66	157	41	269	5
1110038F14Rik	66	42	94	39	56	127	197	103	91	158	17	185	21
1110046J04Rik	1	3	2	0	4	17	3	9	0	15	2	16	0
1110051M20Rik	27	11	21	5	15	62	49	62	30	55	9	86	5
1110054M08Rik	18	7	10	5	10	19	21	19	9	21	4	33	0
1110057K04Rik	69	42	67	26	32	489	122	241	41	279	22	341	9
1110058L19Rik	51	21	51	14	29	372	99	191	49	406	14	488	11
1110059E24Rik	35	18	34	16	16	119	69	31	31	101	14	124	4
1110059G10Rik	38	29	42	17	25	64	63	25	35	73	15	88	4
1110059M19Rik	0	0	0	0	0	7	0	10	0	76	0	76	1
1110065P20Rik	13	4	11	8	2	40	21	25	12	35	0	37	2
1190002F15Rik	22	9	16	6	15	275	93	77	15	93	2	145	1
1190002N15Rik	31	7	14	9	18	115	15	17	14	122	3	193	3
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	0	2	1	1	1	5	0	1	0
1190007I07Rik	15	14	25	9	4	64	28	36	9	13	8	33	0
1200011I18Rik	24	7	29	8	10	94	20	49	15	67	7	102	2
1200014J11Rik	34	19	25	14	17	248	39	127	26	209	7	265	2
1300002E11Rik	33	24	22	2	16	45	27	13	17	45	7	44	3
1300002K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1300015D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	1	0	0	0	0	0	0	0	0
1500002O10Rik	0	0	0	0	0	2	0	0	0	2	0	0	0
1500004A13Rik	0	0	0	0	0	0	0	0	0	4	0	1	0
